model	mech	condition	camera	roll	pitch	yaw
CAPE	extract	EXT	CAM_FRONT_RIGHT	nan	nan	nan
CAPE	extract	EXT	CAM_BACK	nan	nan	nan
CAPE	extract	EXT	CAM_BACK_LEFT	nan	nan	nan
CAPE	extract	EXT	CAM_BACK_RIGHT	nan	nan	nan
CAPE	extract	IMG	CAM_FRONT	0.874	0.864	0.838
CAPE	extract	IMG	CAM_FRONT_LEFT	0.943	0.934	0.931
CAPE	extract	IMG	CAM_FRONT_RIGHT	0.978	0.968	0.964
CAPE	extract	IMG	CAM_BACK	0.833	0.825	0.810
CAPE	extract	IMG	CAM_BACK_LEFT	0.946	0.909	0.928
CAPE	extract	IMG	CAM_BACK_RIGHT	0.987	0.969	0.978
CAPE	extract	CAL	CAM_FRONT	0.874	0.865	1.002
CAPE	extract	CAL	CAM_FRONT_LEFT	0.941	0.935	0.997
CAPE	extract	CAL	CAM_FRONT_RIGHT	0.976	0.968	1.000
CAPE	extract	CAL	CAM_BACK	0.832	0.825	0.981
CAPE	extract	CAL	CAM_BACK_LEFT	0.942	0.908	0.993
CAPE	extract	CAL	CAM_BACK_RIGHT	0.987	0.969	1.008
