condition,axis,mag,protocol,nds,map6,rrs
ER,roll,-12,CAM_FRONT_LEFT,0.5540,0.5129,0.9987
ER,roll,-12,CAM_BACK_LEFT,0.5527,0.5083,0.9964
ER,roll,-12,all,0.5459,0.5032,0.9842
ER,roll,-8,CAM_FRONT_RIGHT,0.5544,0.5138,0.9996
ER,roll,-8,CAM_BACK,0.5530,0.5115,0.9970
ER,roll,-8,CAM_BACK_RIGHT,0.5543,0.5132,0.9994
ER,roll,-4,CAM_FRONT,0.5550,0.5142,1.0006
ER,roll,-4,CAM_FRONT_LEFT,0.5542,0.5127,0.9992
ER,roll,-4,CAM_BACK_LEFT,0.5549,0.5132,1.0004
ER,roll,-4,all,0.5545,0.5145,0.9997
ER,roll,4,CAM_FRONT_RIGHT,0.5544,0.5132,0.9995
ER,roll,4,CAM_BACK,0.5547,0.5133,1.0000
ER,roll,4,CAM_BACK_RIGHT,0.5546,0.5130,0.9998
ER,roll,8,CAM_FRONT,0.5531,0.5127,0.9971
ER,roll,8,CAM_FRONT_LEFT,0.5544,0.5126,0.9996
ER,roll,8,CAM_BACK_LEFT,0.5536,0.5129,0.9981
ER,roll,8,all,0.5483,0.5058,0.9885
ER,roll,12,CAM_FRONT_RIGHT,0.5528,0.5109,0.9967
ER,roll,12,CAM_BACK,0.5505,0.5076,0.9925
ER,roll,12,CAM_BACK_RIGHT,0.5531,0.5103,0.9972
ER,roll,16,CAM_FRONT,0.5488,0.5079,0.9895
ER,roll,16,CAM_FRONT_LEFT,0.5522,0.5100,0.9955
ER,roll,16,CAM_BACK_LEFT,0.5514,0.5105,0.9941
ER,roll,16,all,0.5245,0.4745,0.9457
ER,roll,20,CAM_FRONT_RIGHT,0.5504,0.5074,0.9924
ER,roll,20,CAM_BACK,0.5355,0.4861,0.9655
ER,roll,20,CAM_BACK_RIGHT,0.5499,0.5054,0.9913
VR,yaw,-20,CAM_FRONT,0.4375,0.2904,0.7887
VR,yaw,-20,CAM_FRONT_LEFT,0.5094,0.4348,0.9184
VR,yaw,-20,CAM_BACK_LEFT,0.4950,0.4045,0.8925
VR,yaw,-20,all,0.2115,0.0272,0.3813
VR,yaw,-16,CAM_FRONT_RIGHT,0.5321,0.4725,0.9593
VR,yaw,-16,CAM_BACK,0.4362,0.2950,0.7864
VR,yaw,-16,CAM_BACK_RIGHT,0.5414,0.4872,0.9760
VR,yaw,-12,CAM_FRONT,0.4456,0.3067,0.8034
VR,yaw,-12,CAM_FRONT_LEFT,0.5133,0.4414,0.9255
VR,yaw,-12,CAM_BACK_LEFT,0.5095,0.4340,0.9186
VR,yaw,-12,all,0.2571,0.0658,0.4636
VR,yaw,-8,CAM_FRONT_RIGHT,0.5408,0.4900,0.9750
VR,yaw,-8,CAM_BACK,0.4588,0.3402,0.8271
VR,yaw,-8,CAM_BACK_RIGHT,0.5472,0.4960,0.9866
VR,yaw,-4,CAM_FRONT,0.4973,0.4224,0.8965
VR,yaw,-4,CAM_FRONT_LEFT,0.5380,0.4848,0.9699
VR,yaw,-4,CAM_BACK_LEFT,0.5406,0.4871,0.9747
VR,yaw,-4,all,0.4106,0.2918,0.7402
VR,yaw,4,CAM_FRONT_RIGHT,0.5467,0.5016,0.9856
VR,yaw,4,CAM_BACK,0.4893,0.4068,0.8821
VR,yaw,4,CAM_BACK_RIGHT,0.5498,0.5025,0.9912
VR,yaw,8,CAM_FRONT,0.4691,0.3580,0.8457
VR,yaw,8,CAM_FRONT_LEFT,0.5119,0.4343,0.9228
VR,yaw,8,CAM_BACK_LEFT,0.5220,0.4564,0.9411
VR,yaw,8,all,0.2993,0.1166,0.5396
VR,yaw,12,CAM_FRONT_RIGHT,0.5295,0.4709,0.9547
VR,yaw,12,CAM_BACK,0.4297,0.2865,0.7747
VR,yaw,12,CAM_BACK_RIGHT,0.5354,0.4783,0.9653
VR,yaw,16,CAM_FRONT,0.4559,0.3306,0.8219
VR,yaw,16,CAM_FRONT_LEFT,0.4966,0.4021,0.8953
VR,yaw,16,CAM_BACK_LEFT,0.5082,0.4309,0.9163
VR,yaw,16,all,0.2267,0.0288,0.4087
VR,yaw,20,CAM_FRONT_RIGHT,0.5253,0.4628,0.9470
VR,yaw,20,CAM_BACK,0.4106,0.2582,0.7403
VR,yaw,20,CAM_BACK_RIGHT,0.5228,0.4555,0.9426
VR,pitch,-20,CAM_FRONT,0.4836,0.3841,0.8719
VR,pitch,-20,CAM_FRONT_LEFT,0.5182,0.4506,0.9343
VR,pitch,-20,CAM_BACK_LEFT,0.5041,0.4136,0.9089
VR,pitch,-20,all,0.0505,0.0036,0.0911
VR,pitch,-16,CAM_FRONT_RIGHT,0.5348,0.4756,0.9643
VR,pitch,-16,CAM_BACK,0.4577,0.3456,0.8253
VR,pitch,-16,CAM_BACK_RIGHT,0.5355,0.4759,0.9654
VR,pitch,-12,CAM_FRONT,0.4814,0.3795,0.8679
VR,pitch,-12,CAM_FRONT_LEFT,0.5137,0.4418,0.9262
VR,pitch,-12,CAM_BACK_LEFT,0.4995,0.4115,0.9005
VR,pitch,-12,all,0.0571,0.0220,0.1029
VR,pitch,-8,CAM_FRONT_RIGHT,0.5318,0.4698,0.9588
VR,pitch,-8,CAM_BACK,0.4435,0.3254,0.7996
VR,pitch,-8,CAM_BACK_RIGHT,0.5402,0.4789,0.9739
VR,pitch,-4,CAM_FRONT,0.4658,0.3542,0.8397
VR,pitch,-4,CAM_FRONT_LEFT,0.5096,0.4346,0.9187
VR,pitch,-4,CAM_BACK_LEFT,0.5069,0.4233,0.9139
VR,pitch,-4,all,0.2347,0.0502,0.4232
VR,pitch,4,CAM_FRONT_RIGHT,0.5418,0.4903,0.9768
VR,pitch,4,CAM_BACK,0.4564,0.3631,0.8229
VR,pitch,4,CAM_BACK_RIGHT,0.5395,0.4886,0.9727
VR,pitch,8,CAM_FRONT,0.4798,0.3774,0.8651
VR,pitch,8,CAM_FRONT_LEFT,0.5152,0.4486,0.9288
VR,pitch,8,CAM_BACK_LEFT,0.5032,0.4276,0.9072
VR,pitch,8,all,0.1210,0.0220,0.2181
VR,pitch,12,CAM_FRONT_RIGHT,0.5375,0.4819,0.9691
VR,pitch,12,CAM_BACK,0.4569,0.3508,0.8238
VR,pitch,12,CAM_BACK_RIGHT,0.5366,0.4758,0.9675
VR,pitch,16,CAM_FRONT,0.4827,0.3838,0.8702
VR,pitch,16,CAM_FRONT_LEFT,0.5169,0.4502,0.9319
VR,pitch,16,CAM_BACK_LEFT,0.5053,0.4236,0.9111
VR,pitch,16,all,0.0325,0.0054,0.0585
VR,pitch,20,CAM_FRONT_RIGHT,0.5355,0.4783,0.9655
VR,pitch,20,CAM_BACK,0.4512,0.3509,0.8135
VR,pitch,20,CAM_BACK_RIGHT,0.5299,0.4608,0.9554
VR,roll,-20,CAM_FRONT,0.4777,0.3788,0.8612
VR,roll,-20,CAM_FRONT_LEFT,0.5186,0.4547,0.9350
VR,roll,-20,CAM_BACK_LEFT,0.5145,0.4404,0.9276
VR,roll,-20,all,0.2153,0.0326,0.3881
VR,roll,-16,CAM_FRONT_RIGHT,0.5409,0.4895,0.9752
VR,roll,-16,CAM_BACK,0.4468,0.3380,0.8056
VR,roll,-16,CAM_BACK_RIGHT,0.5429,0.4846,0.9789
VR,roll,-12,CAM_FRONT,0.4729,0.3695,0.8526
VR,roll,-12,CAM_FRONT_LEFT,0.5196,0.4578,0.9367
VR,roll,-12,CAM_BACK_LEFT,0.5226,0.4530,0.9422
VR,roll,-12,all,0.2687,0.0733,0.4844
VR,roll,-8,CAM_FRONT_RIGHT,0.5432,0.4930,0.9794
VR,roll,-8,CAM_BACK,0.4580,0.3529,0.8257
VR,roll,-8,CAM_BACK_RIGHT,0.5514,0.5000,0.9941
VR,roll,-4,CAM_FRONT,0.5035,0.4287,0.9077
VR,roll,-4,CAM_FRONT_LEFT,0.5308,0.4743,0.9569
VR,roll,-4,CAM_BACK_LEFT,0.5312,0.4696,0.9578
VR,roll,-4,all,0.3927,0.2481,0.7080
VR,roll,4,CAM_FRONT_RIGHT,0.5471,0.5021,0.9864
VR,roll,4,CAM_BACK,0.4837,0.3959,0.8720
VR,roll,4,CAM_BACK_RIGHT,0.5460,0.4953,0.9843
VR,roll,8,CAM_FRONT,0.4786,0.3824,0.8629
