condition,axis,mag,protocol,nds,map6,rrs
ER,roll,-12,CAM_FRONT_LEFT,0.5512,0.5066,1.0008
ER,roll,-12,CAM_BACK_LEFT,0.5481,0.4995,0.9952
ER,roll,-12,all,0.5447,0.4978,0.9891
ER,roll,-8,CAM_FRONT_RIGHT,0.5508,0.5071,1.0002
ER,roll,-8,CAM_BACK,0.5503,0.5052,0.9991
ER,roll,-8,CAM_BACK_RIGHT,0.5508,0.5075,1.0001
ER,roll,-4,CAM_FRONT,0.5513,0.5086,1.0011
ER,roll,-4,CAM_FRONT_LEFT,0.5498,0.5041,0.9982
ER,roll,-4,CAM_BACK_LEFT,0.5511,0.5060,1.0007
ER,roll,-4,all,0.5509,0.5053,1.0003
ER,roll,4,CAM_FRONT_RIGHT,0.5506,0.5070,0.9997
ER,roll,4,CAM_BACK,0.5519,0.5081,1.0021
ER,roll,4,CAM_BACK_RIGHT,0.5507,0.5070,0.9999
ER,roll,8,CAM_FRONT,0.5500,0.5080,0.9986
ER,roll,8,CAM_FRONT_LEFT,0.5530,0.5103,1.0041
ER,roll,8,CAM_BACK_LEFT,0.5498,0.5056,0.9983
ER,roll,8,all,0.5483,0.5056,0.9955
ER,roll,12,CAM_FRONT_RIGHT,0.5490,0.5049,0.9968
ER,roll,12,CAM_BACK,0.5471,0.5024,0.9933
ER,roll,12,CAM_BACK_RIGHT,0.5485,0.5018,0.9958
ER,roll,16,CAM_FRONT,0.5466,0.5024,0.9924
ER,roll,16,CAM_FRONT_LEFT,0.5536,0.5115,1.0052
ER,roll,16,CAM_BACK_LEFT,0.5475,0.5031,0.9941
ER,roll,16,all,0.5276,0.4779,0.9579
ER,roll,20,CAM_FRONT_RIGHT,0.5474,0.5024,0.9938
ER,roll,20,CAM_BACK,0.5321,0.4816,0.9661
ER,roll,20,CAM_BACK_RIGHT,0.5462,0.4970,0.9917
VR,yaw,-20,CAM_FRONT,0.4367,0.2839,0.7929
VR,yaw,-20,CAM_FRONT_LEFT,0.5131,0.4396,0.9316
VR,yaw,-20,CAM_BACK_LEFT,0.4931,0.3994,0.8953
VR,yaw,-20,all,0.2141,0.0260,0.3888
VR,yaw,-16,CAM_FRONT_RIGHT,0.5267,0.4614,0.9564
VR,yaw,-16,CAM_BACK,0.4334,0.2954,0.7870
VR,yaw,-16,CAM_BACK_RIGHT,0.5394,0.4827,0.9794
VR,yaw,-12,CAM_FRONT,0.4453,0.3040,0.8085
VR,yaw,-12,CAM_FRONT_LEFT,0.5142,0.4397,0.9336
VR,yaw,-12,CAM_BACK_LEFT,0.5046,0.4248,0.9163
VR,yaw,-12,all,0.2598,0.0649,0.4717
VR,yaw,-8,CAM_FRONT_RIGHT,0.5388,0.4836,0.9783
VR,yaw,-8,CAM_BACK,0.4549,0.3357,0.8259
VR,yaw,-8,CAM_BACK_RIGHT,0.5454,0.4905,0.9903
VR,yaw,-4,CAM_FRONT,0.4988,0.4259,0.9057
VR,yaw,-4,CAM_FRONT_LEFT,0.5381,0.4814,0.9771
VR,yaw,-4,CAM_BACK_LEFT,0.5399,0.4813,0.9802
VR,yaw,-4,all,0.4131,0.2966,0.7500
VR,yaw,4,CAM_FRONT_RIGHT,0.5431,0.4959,0.9861
VR,yaw,4,CAM_BACK,0.4887,0.4061,0.8874
VR,yaw,4,CAM_BACK_RIGHT,0.5472,0.4958,0.9936
VR,yaw,8,CAM_FRONT,0.4706,0.3577,0.8545
VR,yaw,8,CAM_FRONT_LEFT,0.5129,0.4357,0.9312
VR,yaw,8,CAM_BACK_LEFT,0.5185,0.4484,0.9414
VR,yaw,8,all,0.3022,0.1154,0.5486
VR,yaw,12,CAM_FRONT_RIGHT,0.5262,0.4648,0.9554
VR,yaw,12,CAM_BACK,0.4308,0.2873,0.7822
VR,yaw,12,CAM_BACK_RIGHT,0.5354,0.4760,0.9721
VR,yaw,16,CAM_FRONT,0.4523,0.3195,0.8212
VR,yaw,16,CAM_FRONT_LEFT,0.4931,0.3966,0.8953
VR,yaw,16,CAM_BACK_LEFT,0.5025,0.4219,0.9124
VR,yaw,16,all,0.2298,0.0277,0.4172
VR,yaw,20,CAM_FRONT_RIGHT,0.5217,0.4560,0.9473
VR,yaw,20,CAM_BACK,0.4104,0.2552,0.7451
VR,yaw,20,CAM_BACK_RIGHT,0.5216,0.4495,0.9471
VR,pitch,-20,CAM_FRONT,0.4825,0.3808,0.8760
VR,pitch,-20,CAM_FRONT_LEFT,0.5183,0.4491,0.9410
VR,pitch,-20,CAM_BACK_LEFT,0.4981,0.4019,0.9043
