condition,axis,signed_mag,protocol,nds,map6,mATE,mASE,mAOE,mAVE,mAAE,nds_10class,map_10class,rrs
ER,roll,8,CAM_BACK_RIGHT,0.4885,0.4356,0.6032,0.1440,0.3982,2.4589,0.1472,0.3099,0.2613,0.9970
ER,roll,12,all,0.4282,0.3479,0.7444,0.1607,0.3841,2.3543,0.1684,0.2735,0.2087,0.8739
ER,roll,12,CAM_FRONT,0.4815,0.4264,0.6180,0.1482,0.4030,2.3935,0.1478,0.3057,0.2558,0.9827
ER,roll,12,CAM_FRONT_RIGHT,0.4883,0.4347,0.5959,0.1457,0.4031,2.4000,0.1458,0.3098,0.2608,0.9966
ER,roll,12,CAM_FRONT_LEFT,0.4852,0.4315,0.6094,0.1462,0.3957,2.4655,0.1541,0.3078,0.2589,0.9902
ER,roll,12,CAM_BACK,0.4605,0.3961,0.6851,0.1515,0.3742,2.3650,0.1646,0.2930,0.2376,0.9398
ER,roll,12,CAM_BACK_LEFT,0.4850,0.4354,0.6115,0.1468,0.4044,2.4994,0.1649,0.3075,0.2613,0.9898
ER,roll,12,CAM_BACK_RIGHT,0.4867,0.4339,0.6055,0.1441,0.3988,2.4776,0.1537,0.3087,0.2603,0.9934
ER,roll,16,all,0.3958,0.2975,0.8009,0.1671,0.3913,2.3092,0.1704,0.2540,0.1785,0.8077
ER,roll,16,CAM_FRONT,0.4780,0.4193,0.6182,0.1484,0.4036,2.3661,0.1461,0.3036,0.2516,0.9756
ER,roll,16,CAM_FRONT_RIGHT,0.4878,0.4350,0.5986,0.1450,0.4018,2.3990,0.1514,0.3094,0.2610,0.9956
ER,roll,16,CAM_FRONT_LEFT,0.4852,0.4303,0.6105,0.1459,0.3915,2.4729,0.1512,0.3079,0.2582,0.9903
ER,roll,16,CAM_BACK,0.4487,0.3779,0.7032,0.1529,0.3742,2.3279,0.1725,0.2858,0.2268,0.9157
ER,roll,16,CAM_BACK_LEFT,0.4790,0.4256,0.6130,0.1475,0.4039,2.5121,0.1740,0.3037,0.2554,0.9776
ER,roll,16,CAM_BACK_RIGHT,0.4826,0.4287,0.6131,0.1442,0.4007,2.5024,0.1600,0.3061,0.2572,0.9849
ER,roll,20,all,0.3683,0.2578,0.8686,0.1731,0.3855,2.2893,0.1793,0.2374,0.1547,0.7516
ER,roll,20,CAM_FRONT,0.4721,0.4099,0.6330,0.1488,0.4016,2.3280,0.1452,0.3001,0.2459,0.9635
ER,roll,20,CAM_FRONT_RIGHT,0.4862,0.4332,0.6038,0.1445,0.4005,2.3966,0.1555,0.3084,0.2599,0.9922
ER,roll,20,CAM_FRONT_LEFT,0.4823,0.4273,0.6169,0.1459,0.4003,2.4936,0.1501,0.3061,0.2564,0.9844
ER,roll,20,CAM_BACK,0.4389,0.3621,0.7092,0.1551,0.3758,2.3217,0.1813,0.2798,0.2173,0.8958
ER,roll,20,CAM_BACK_LEFT,0.4765,0.4212,0.6193,0.1483,0.3992,2.4851,0.1747,0.3023,0.2527,0.9724
ER,roll,20,CAM_BACK_RIGHT,0.4771,0.4197,0.6369,0.1446,0.4023,2.4699,0.1438,0.3031,0.2518,0.9737
VR,yaw,-20,all,0.2042,0.0229,1.4292,0.2183,0.6548,2.0337,0.1993,0.1368,0.0137,0.4168
VR,yaw,-20,CAM_FRONT,0.3970,0.2684,0.6402,0.1502,0.4300,2.3929,0.1518,0.2547,0.1610,0.8102
VR,yaw,-20,CAM_FRONT_RIGHT,0.4546,0.3865,0.6679,0.1465,0.4043,2.5335,0.1673,0.2892,0.2319,0.9279
VR,yaw,-20,CAM_FRONT_LEFT,0.4558,0.3794,0.6148,0.1460,0.4282,2.5448,0.1502,0.2900,0.2276,0.9302
VR,yaw,-20,CAM_BACK,0.3851,0.2383,0.6555,0.1478,0.3940,2.2381,0.1433,0.2479,0.1430,0.7859
VR,yaw,-20,CAM_BACK_LEFT,0.4412,0.3498,0.6626,0.1416,0.3804,2.4168,0.1522,0.2816,0.2099,0.9005
VR,yaw,-20,CAM_BACK_RIGHT,0.4689,0.4030,0.6350,0.1464,0.4057,2.3468,0.1389,0.2982,0.2418,0.9570
VR,yaw,-16,all,0.2295,0.0373,1.3717,0.1706,0.5187,2.0224,0.2022,0.1529,0.0224,0.4684
VR,yaw,-16,CAM_FRONT,0.4020,0.2788,0.6450,0.1500,0.4211,2.3716,0.1581,0.2577,0.1673,0.8204
VR,yaw,-16,CAM_FRONT_RIGHT,0.4578,0.3925,0.6656,0.1466,0.4050,2.4981,0.1673,0.2911,0.2355,0.9343
VR,yaw,-16,CAM_FRONT_LEFT,0.4573,0.3804,0.6197,0.1472,0.4135,2.5288,0.1486,0.2911,0.2282,0.9333
VR,yaw,-16,CAM_BACK,0.3907,0.2482,0.6425,0.1476,0.3834,2.2356,0.1607,0.2511,0.1489,0.7973
VR,yaw,-16,CAM_BACK_LEFT,0.4467,0.3625,0.6709,0.1434,0.3808,2.4221,0.1504,0.2849,0.2175,0.9117
VR,yaw,-16,CAM_BACK_RIGHT,0.4713,0.4072,0.6368,0.1453,0.4004,2.3581,0.1401,0.2997,0.2443,0.9620
VR,yaw,-12,all,0.2562,0.0731,1.2638,0.1655,0.4457,2.1437,0.1923,0.1695,0.0439,0.5229
VR,yaw,-12,CAM_FRONT,0.4105,0.2994,0.6614,0.1488,0.4238,2.4097,0.1577,0.2628,0.1796,0.8378
VR,yaw,-12,CAM_FRONT_RIGHT,0.4671,0.4056,0.6448,0.1462,0.4042,2.4592,0.1620,0.2968,0.2434,0.9533
VR,yaw,-12,CAM_FRONT_LEFT,0.4603,0.3875,0.6251,0.1473,0.4157,2.5017,0.1464,0.2929,0.2325,0.9394
VR,yaw,-12,CAM_BACK,0.4020,0.2697,0.6409,0.1481,0.3756,2.2346,0.1642,0.2579,0.1618,0.8204
VR,yaw,-12,CAM_BACK_LEFT,0.4526,0.3747,0.6621,0.1430,0.3953,2.4611,0.1474,0.2884,0.2248,0.9237
VR,yaw,-12,CAM_BACK_RIGHT,0.4709,0.4076,0.6465,0.1444,0.3983,2.3655,0.1395,0.2995,0.2445,0.9611
VR,yaw,-8,all,0.3014,0.1400,1.1076,0.1488,0.3621,1.9838,0.1756,0.1974,0.0840,0.6151
VR,yaw,-8,CAM_FRONT,0.4233,0.3246,0.6670,0.1477,0.4235,2.3860,0.1520,0.2705,0.1947,0.8639
VR,yaw,-8,CAM_FRONT_RIGHT,0.4794,0.4227,0.6164,0.1455,0.4037,2.4299,0.1537,0.3043,0.2536,0.9784
VR,yaw,-8,CAM_FRONT_LEFT,0.4682,0.3993,0.6301,0.1452,0.3912,2.4650,0.1478,0.2978,0.2396,0.9556
VR,yaw,-8,CAM_BACK,0.4188,0.3043,0.6529,0.1468,0.3675,2.2217,0.1658,0.2680,0.1826,0.8548
VR,yaw,-8,CAM_BACK_LEFT,0.4646,0.3975,0.6667,0.1421,0.3876,2.4454,0.1452,0.2956,0.2385,0.9482
VR,yaw,-8,CAM_BACK_RIGHT,0.4746,0.4140,0.6390,0.1443,0.3994,2.4075,0.1411,0.3017,0.2484,0.9687
VR,yaw,-4,all,0.3792,0.2743,0.9218,0.1444,0.3598,2.1385,0.1536,0.2445,0.1646,0.7739
VR,yaw,-4,CAM_FRONT,0.4521,0.3823,0.6813,0.1448,0.4146,2.4078,0.1497,0.2879,0.2294,0.9228
VR,yaw,-4,CAM_FRONT_RIGHT,0.4834,0.4283,0.6149,0.1452,0.3995,2.4166,0.1486,0.3068,0.2570,0.9865
VR,yaw,-4,CAM_FRONT_LEFT,0.4761,0.4135,0.6278,0.1447,0.3875,2.4545,0.1470,0.3025,0.2481,0.9716
VR,yaw,-4,CAM_BACK,0.4523,0.3729,0.6760,0.1448,0.3652,2.2307,0.1560,0.2882,0.2238,0.9230
VR,yaw,-4,CAM_BACK_LEFT,0.4799,0.4222,0.6310,0.1414,0.3929,2.4834,0.1462,0.3048,0.2533,0.9795
VR,yaw,-4,CAM_BACK_RIGHT,0.4809,0.4236,0.6280,0.1443,0.3986,2.3935,0.1379,0.3055,0.2542,0.9816
VR,yaw,4,all,0.3638,0.2627,1.0017,0.1497,0.3631,2.3253,0.1626,0.2351,0.1576,0.7425
VR,yaw,4,CAM_FRONT,0.4553,0.3857,0.6619,0.1460,0.4144,2.4878,0.1531,0.2898,0.2314,0.9292
VR,yaw,4,CAM_FRONT_RIGHT,0.4787,0.4211,0.6309,0.1451,0.4004,2.3624,0.1421,0.3041,0.2527,0.9770
VR,yaw,4,CAM_FRONT_LEFT,0.4742,0.4124,0.6478,0.1467,0.3819,2.4130,0.1435,0.3015,0.2474,0.9678
VR,yaw,4,CAM_BACK,0.4441,0.3626,0.7086,0.1477,0.3645,2.2680,0.1515,0.2834,0.2176,0.9063
VR,yaw,4,CAM_BACK_LEFT,0.4727,0.4144,0.6548,0.1441,0.3997,2.4442,0.1471,0.3004,0.2487,0.9647
VR,yaw,4,CAM_BACK_RIGHT,0.4854,0.4304,0.6067,0.1436,0.3984,2.5078,0.1491,0.3080,0.2582,0.9907
VR,yaw,8,all,0.2880,0.1266,1.1068,0.1533,0.3930,2.3798,0.2069,0.1887,0.0759,0.5877
VR,yaw,8,CAM_FRONT,0.4303,0.3349,0.6421,0.1477,0.4224,2.4255,0.1585,0.2747,0.2009,0.8783
VR,yaw,8,CAM_FRONT_RIGHT,0.4768,0.4179,0.6342,0.1444,0.3991,2.3597,0.1441,0.3029,0.2508,0.9731
VR,yaw,8,CAM_FRONT_LEFT,0.4582,0.3782,0.6392,0.1449,0.3787,2.4137,0.1468,0.2918,0.2269,0.9351
VR,yaw,8,CAM_BACK,0.4092,0.2951,0.6718,0.1514,0.3842,2.3804,0.1762,0.2620,0.1771,0.8352
VR,yaw,8,CAM_BACK_LEFT,0.4553,0.3864,0.6749,0.1446,0.4077,2.4947,0.1516,0.2899,0.2318,0.9293
VR,yaw,8,CAM_BACK_RIGHT,0.4814,0.4212,0.6146,0.1439,0.3975,2.4623,0.1365,0.3058,0.2527,0.9825
VR,yaw,12,all,0.2510,0.0679,1.2415,0.1692,0.4374,2.1665,0.2231,0.1660,0.0407,0.5122
VR,yaw,12,CAM_FRONT,0.4242,0.3183,0.6300,0.1487,0.4187,2.3695,0.1520,0.2711,0.1910,0.8658
VR,yaw,12,CAM_FRONT_RIGHT,0.4716,0.4091,0.6401,0.1448,0.4000,2.3546,0.1443,0.2998,0.2454,0.9625
VR,yaw,12,CAM_FRONT_LEFT,0.4499,0.3609,0.6323,0.1453,0.3788,2.4282,0.1492,0.2868,0.2165,0.9182
VR,yaw,12,CAM_BACK,0.3813,0.2452,0.6813,0.1543,0.4026,2.3796,0.1745,0.2452,0.1471,0.7782
VR,yaw,12,CAM_BACK_LEFT,0.4451,0.3708,0.6878,0.1459,0.4041,2.5035,0.1647,0.2836,0.2225,0.9085
VR,yaw,12,CAM_BACK_RIGHT,0.4759,0.4115,0.6143,0.1444,0.3982,2.4998,0.1416,0.3024,0.2469,0.9713
VR,yaw,16,all,0.2269,0.0350,1.3690,0.1793,0.5098,2.1684,0.2163,0.1512,0.0210,0.4632
VR,yaw,16,CAM_FRONT,0.4158,0.3036,0.6320,0.1491,0.4320,2.4308,0.1465,0.2661,0.1822,0.8487
VR,yaw,16,CAM_FRONT_RIGHT,0.4660,0.4015,0.6639,0.1456,0.4012,2.3386,0.1365,0.2965,0.2409,0.9511
VR,yaw,16,CAM_FRONT_LEFT,0.4436,0.3490,0.6309,0.1465,0.3819,2.4368,0.1497,0.2830,0.2094,0.9053
VR,yaw,16,CAM_BACK,0.3729,0.2324,0.6868,0.1517,0.4174,2.4693,0.1770,0.2400,0.1394,0.7611
VR,yaw,16,CAM_BACK_LEFT,0.4432,0.3640,0.6758,0.1432,0.4114,2.5488,0.1575,0.2825,0.2184,0.9046
VR,yaw,16,CAM_BACK_RIGHT,0.4749,0.4090,0.6100,0.1434,0.4008,2.5727,0.1422,0.3018,0.2454,0.9692
VR,yaw,20,all,0.2162,0.0171,1.4577,0.2410,0.5453,2.1494,0.1373,0.1457,0.0102,0.4412
VR,yaw,20,CAM_FRONT,0.4135,0.3027,0.6281,0.1504,0.4483,2.5013,0.1516,0.2645,0.1816,0.8439
VR,yaw,20,CAM_FRONT_RIGHT,0.4565,0.3851,0.6845,0.1472,0.4072,2.3690,0.1219,0.2910,0.2310,0.9316
VR,yaw,20,CAM_FRONT_LEFT,0.4379,0.3374,0.6263,0.1461,0.3824,2.4369,0.1530,0.2796,0.2024,0.8937
VR,yaw,20,CAM_BACK,0.3696,0.2276,0.6826,0.1529,0.4238,2.4846,0.1824,0.2379,0.1366,0.7544
VR,yaw,20,CAM_BACK_LEFT,0.4394,0.3578,0.6718,0.1435,0.4150,2.5724,0.1648,0.2801,0.2147,0.8968
VR,yaw,20,CAM_BACK_RIGHT,0.4685,0.4013,0.6212,0.1446,0.4063,2.5731,0.1490,0.2978,0.2408,0.9562
VR,pitch,-20,all,0.0804,0.0005,1.2365,0.6395,1.0140,2.6597,0.5596,0.0548,0.0003,0.1640
VR,pitch,-20,CAM_FRONT,0.4290,0.3331,0.6270,0.1505,0.4254,2.3089,0.1724,0.2737,0.1998,0.8756
VR,pitch,-20,CAM_FRONT_RIGHT,0.4692,0.4048,0.6204,0.1456,0.4029,2.5436,0.1636,0.2980,0.2429,0.9575
VR,pitch,-20,CAM_FRONT_LEFT,0.4641,0.3958,0.6137,0.1472,0.4174,2.5833,0.1604,0.2949,0.2375,0.9471
VR,pitch,-20,CAM_BACK,0.4111,0.2926,0.6398,0.1520,0.4083,2.2641,0.1523,0.2633,0.1756,0.8390
VR,pitch,-20,CAM_BACK_LEFT,0.4434,0.3595,0.6402,0.1436,0.4110,2.5738,0.1686,0.2824,0.2157,0.9049
VR,pitch,-20,CAM_BACK_RIGHT,0.4593,0.3817,0.6460,0.1494,0.4182,2.3414,0.1016,0.2930,0.2290,0.9375
VR,pitch,-16,all,0.1290,0.0058,1.2363,0.4843,0.8373,2.9377,0.4174,0.0872,0.0035,0.2633
VR,pitch,-16,CAM_FRONT,0.4337,0.3443,0.6285,0.1526,0.4292,2.3155,0.1744,0.2764,0.2066,0.8851
VR,pitch,-16,CAM_FRONT_RIGHT,0.4713,0.4079,0.6219,0.1455,0.3961,2.4749,0.1631,0.2994,0.2447,0.9619
VR,pitch,-16,CAM_FRONT_LEFT,0.4648,0.3952,0.6177,0.1476,0.4131,2.5605,0.1495,0.2956,0.2371,0.9487
VR,pitch,-16,CAM_BACK,0.4073,0.2900,0.6541,0.1508,0.4014,2.2444,0.1708,0.2608,0.1740,0.8313
VR,pitch,-16,CAM_BACK_LEFT,0.4413,0.3591,0.6436,0.1447,0.4223,2.6172,0.1718,0.2811,0.2154,0.9006
VR,pitch,-16,CAM_BACK_RIGHT,0.4590,0.3861,0.6612,0.1476,0.4166,2.3575,0.1149,0.2926,0.2317,0.9368
VR,pitch,-12,all,0.1837,0.0142,1.2253,0.3730,0.5813,3.1429,0.2802,0.1238,0.0085,0.3748
VR,pitch,-12,CAM_FRONT,0.4318,0.3361,0.6184,0.1535,0.4276,2.3703,0.1636,0.2754,0.2017,0.8812
VR,pitch,-12,CAM_FRONT_RIGHT,0.4743,0.4119,0.6154,0.1450,0.3944,2.4470,0.1613,0.3012,0.2471,0.9680
VR,pitch,-12,CAM_FRONT_LEFT,0.4655,0.3950,0.6254,0.1501,0.3841,2.5201,0.1610,0.2960,0.2370,0.9499
VR,pitch,-12,CAM_BACK,0.4107,0.2967,0.6570,0.1541,0.3928,2.2285,0.1726,0.2629,0.1780,0.8382
VR,pitch,-12,CAM_BACK_LEFT,0.4418,0.3578,0.6423,0.1459,0.4198,2.6088,0.1628,0.2815,0.2147,0.9017
VR,pitch,-12,CAM_BACK_RIGHT,0.4644,0.3942,0.6510,0.1468,0.4151,2.3423,0.1139,0.2958,0.2365,0.9478
VR,pitch,-8,all,0.2129,0.0515,1.2526,0.3166,0.5682,2.9103,0.2440,0.1419,0.0309,0.4344
VR,pitch,-8,CAM_FRONT,0.4415,0.3536,0.6200,0.1540,0.4282,2.3773,0.1512,0.2814,0.2122,0.9010
VR,pitch,-8,CAM_FRONT_RIGHT,0.4746,0.4139,0.6147,0.1464,0.4058,2.4798,0.1565,0.3014,0.2484,0.9687
VR,pitch,-8,CAM_FRONT_LEFT,0.4676,0.3972,0.6264,0.1481,0.3823,2.4789,0.1535,0.2974,0.2383,0.9543
VR,pitch,-8,CAM_BACK,0.4077,0.2919,0.6584,0.1589,0.3950,2.2828,0.1706,0.2611,0.1751,0.8320
VR,pitch,-8,CAM_BACK_LEFT,0.4473,0.3670,0.6563,0.1482,0.3848,2.5269,0.1732,0.2849,0.2202,0.9128
VR,pitch,-8,CAM_BACK_RIGHT,0.4662,0.3956,0.6418,0.1463,0.4135,2.3879,0.1143,0.2969,0.2374,0.9515
VR,pitch,-4,all,0.2845,0.1295,1.1614,0.1995,0.4279,2.5216,0.1745,0.1869,0.0777,0.5807
VR,pitch,-4,CAM_FRONT,0.4380,0.3553,0.6563,0.1556,0.4331,2.4887,0.1512,0.2793,0.2132,0.8940
VR,pitch,-4,CAM_FRONT_RIGHT,0.4756,0.4149,0.6282,0.1450,0.3986,2.4338,0.1466,0.3022,0.2489,0.9707
VR,pitch,-4,CAM_FRONT_LEFT,0.4687,0.4033,0.6422,0.1465,0.3921,2.4710,0.1485,0.2980,0.2420,0.9566
VR,pitch,-4,CAM_BACK,0.4273,0.3286,0.6620,0.1570,0.3801,2.2797,0.1711,0.2729,0.1972,0.8720
VR,pitch,-4,CAM_BACK_LEFT,0.4562,0.3821,0.6642,0.1460,0.3782,2.4208,0.1599,0.2905,0.2293,0.9311
VR,pitch,-4,CAM_BACK_RIGHT,0.4759,0.4135,0.6138,0.1446,0.4031,2.5546,0.1466,0.3023,0.2481,0.9713
VR,pitch,4,all,0.2854,0.1624,1.0400,0.1871,0.5643,2.9063,0.2066,0.1860,0.0974,0.5825
VR,pitch,4,CAM_FRONT,0.4586,0.3891,0.6471,0.1505,0.4081,2.3954,0.1546,0.2918,0.2335,0.9359
VR,pitch,4,CAM_FRONT_RIGHT,0.4762,0.4184,0.6319,0.1470,0.4065,2.3985,0.1439,0.3025,0.2510,0.9720
VR,pitch,4,CAM_FRONT_LEFT,0.4570,0.3957,0.6377,0.1408,0.4822,2.7873,0.1480,0.2904,0.2374,0.9326
VR,pitch,4,CAM_BACK,0.4453,0.3590,0.6426,0.1532,0.3825,2.2901,0.1639,0.2838,0.2154,0.9088
VR,pitch,4,CAM_BACK_LEFT,0.4409,0.3803,0.6604,0.1361,0.5407,3.0687,0.1551,0.2803,0.2282,0.8999
VR,pitch,4,CAM_BACK_RIGHT,0.4764,0.4178,0.6369,0.1458,0.4070,2.3650,0.1357,0.3027,0.2507,0.9723
VR,pitch,8,all,0.2006,0.0708,1.0753,0.2890,0.7935,3.3768,0.2659,0.1327,0.0425,0.4093
VR,pitch,8,CAM_FRONT,0.4500,0.3721,0.6286,0.1511,0.4237,2.4153,0.1567,0.2865,0.2232,0.9185
VR,pitch,8,CAM_FRONT_RIGHT,0.4740,0.4130,0.6272,0.1471,0.4008,2.3440,0.1501,0.3011,0.2478,0.9674
VR,pitch,8,CAM_FRONT_LEFT,0.4479,0.3859,0.6497,0.1396,0.5064,2.8903,0.1550,0.2847,0.2315,0.9141
VR,pitch,8,CAM_BACK,0.4269,0.3223,0.6327,0.1555,0.3947,2.2246,0.1599,0.2728,0.1934,0.8712
VR,pitch,8,CAM_BACK_LEFT,0.4350,0.3707,0.6414,0.1422,0.5562,3.1432,0.1634,0.2765,0.2224,0.8879
VR,pitch,8,CAM_BACK_RIGHT,0.4718,0.4076,0.6232,0.1470,0.4141,2.3545,0.1356,0.3000,0.2446,0.9629
VR,pitch,12,all,0.1613,0.0233,1.1656,0.4233,0.8356,3.7057,0.2443,0.1092,0.0140,0.3293
VR,pitch,12,CAM_FRONT,0.4492,0.3700,0.6195,0.1520,0.4167,2.3751,0.1694,0.2859,0.2220,0.9168
VR,pitch,12,CAM_FRONT_RIGHT,0.4721,0.4097,0.6273,0.1473,0.4068,2.3666,0.1460,0.3000,0.2458,0.9635
VR,pitch,12,CAM_FRONT_LEFT,0.4421,0.3811,0.6469,0.1400,0.5351,3.0323,0.1627,0.2809,0.2287,0.9023
VR,pitch,12,CAM_BACK,0.4205,0.3095,0.6421,0.1514,0.3966,2.1926,0.1522,0.2690,0.1857,0.8582
VR,pitch,12,CAM_BACK_LEFT,0.4321,0.3641,0.6354,0.1486,0.5468,3.0438,0.1690,0.2747,0.2185,0.8819
VR,pitch,12,CAM_BACK_RIGHT,0.4690,0.4001,0.6319,0.1467,0.4147,2.4031,0.1169,0.2986,0.2401,0.9573
VR,pitch,16,all,0.1367,0.0109,1.2823,0.4856,0.9357,3.5457,0.2659,0.0935,0.0065,0.2790
VR,pitch,16,CAM_FRONT,0.4491,0.3660,0.6084,0.1512,0.4119,2.3374,0.1674,0.2859,0.2196,0.9166
VR,pitch,16,CAM_FRONT_RIGHT,0.4627,0.3969,0.6545,0.1450,0.4006,2.4854,0.1580,0.2942,0.2382,0.9442
VR,pitch,16,CAM_FRONT_LEFT,0.4495,0.3867,0.6351,0.1379,0.5042,2.8829,0.1615,0.2856,0.2320,0.9173
VR,pitch,16,CAM_BACK,0.4171,0.3034,0.6298,0.1494,0.3960,2.2506,0.1710,0.2667,0.1820,0.8512
VR,pitch,16,CAM_BACK_LEFT,0.4308,0.3597,0.6382,0.1460,0.5387,2.9781,0.1676,0.2740,0.2158,0.8792
VR,pitch,16,CAM_BACK_RIGHT,0.4693,0.3998,0.6253,0.1481,0.4159,2.4527,0.1165,0.2987,0.2399,0.9579
VR,pitch,20,all,0.0806,0.0003,1.1827,0.6736,1.0320,2.9620,0.5220,0.0555,0.0002,0.1645
VR,pitch,20,CAM_FRONT,0.4460,0.3599,0.5960,0.1502,0.4273,2.3559,0.1664,0.2839,0.2159,0.9102
VR,pitch,20,CAM_FRONT_RIGHT,0.4591,0.3919,0.6686,0.1449,0.4073,2.4779,0.1478,0.2922,0.2351,0.9370
VR,pitch,20,CAM_FRONT_LEFT,0.4587,0.3932,0.6205,0.1419,0.4599,2.6927,0.1565,0.2915,0.2359,0.9363
VR,pitch,20,CAM_BACK,0.4127,0.2956,0.6265,0.1500,0.4034,2.2539,0.1708,0.2641,0.1774,0.8424
VR,pitch,20,CAM_BACK_LEFT,0.4359,0.3608,0.6339,0.1439,0.5028,2.9052,0.1640,0.2774,0.2165,0.8897
VR,pitch,20,CAM_BACK_RIGHT,0.4685,0.3985,0.6282,0.1494,0.4159,2.4320,0.1138,0.2983,0.2391,0.9562
VR,roll,-20,all,0.2212,0.0476,1.1473,0.2263,0.5710,2.4062,0.2285,0.1472,0.0286,0.4515
VR,roll,-20,CAM_FRONT,0.4464,0.3653,0.6285,0.1511,0.4278,2.4450,0.1552,0.2843,0.2192,0.9110
VR,roll,-20,CAM_FRONT_RIGHT,0.4720,0.4137,0.6567,0.1465,0.4070,2.3479,0.1385,0.3001,0.2482,0.9633
VR,roll,-20,CAM_FRONT_LEFT,0.4606,0.3965,0.6227,0.1469,0.4594,2.6824,0.1478,0.2927,0.2379,0.9400
VR,roll,-20,CAM_BACK,0.4020,0.2897,0.6761,0.1524,0.4313,2.3903,0.1691,0.2574,0.1738,0.8204
VR,roll,-20,CAM_BACK_LEFT,0.4543,0.3827,0.6563,0.1440,0.4139,2.5564,0.1558,0.2892,0.2296,0.9273
VR,roll,-20,CAM_BACK_RIGHT,0.4699,0.4050,0.6435,0.1456,0.4107,2.4019,0.1260,0.2990,0.2430,0.9591
VR,roll,-16,all,0.2415,0.0665,1.0649,0.2065,0.5080,2.3676,0.2028,0.1601,0.0399,0.4929
VR,roll,-16,CAM_FRONT,0.4508,0.3702,0.6227,0.1496,0.4178,2.3631,0.1532,0.2870,0.2221,0.9199
VR,roll,-16,CAM_FRONT_RIGHT,0.4717,0.4133,0.6541,0.1467,0.4054,2.3730,0.1433,0.2999,0.2480,0.9628
VR,roll,-16,CAM_FRONT_LEFT,0.4622,0.4011,0.6219,0.1461,0.4693,2.6888,0.1463,0.2936,0.2406,0.9433
VR,roll,-16,CAM_BACK,0.4000,0.2865,0.6812,0.1531,0.4310,2.3680,0.1668,0.2563,0.1719,0.8164
VR,roll,-16,CAM_BACK_LEFT,0.4539,0.3834,0.6527,0.1446,0.4279,2.6079,0.1529,0.2889,0.2301,0.9264
VR,roll,-16,CAM_BACK_RIGHT,0.4717,0.4096,0.6395,0.1455,0.4033,2.4411,0.1423,0.2999,0.2457,0.9627
VR,roll,-12,all,0.2654,0.0994,1.0001,0.1967,0.4554,2.3409,0.1910,0.1750,0.0597,0.5417
VR,roll,-12,CAM_FRONT,0.4541,0.3761,0.6185,0.1489,0.4142,2.3752,0.1576,0.2890,0.2257,0.9268
VR,roll,-12,CAM_FRONT_RIGHT,0.4742,0.4152,0.6432,0.1467,0.4032,2.3642,0.1409,0.3014,0.2491,0.9678
VR,roll,-12,CAM_FRONT_LEFT,0.4661,0.4027,0.6251,0.1445,0.4354,2.6259,0.1474,0.2962,0.2416,0.9513
VR,roll,-12,CAM_BACK,0.4090,0.2985,0.6694,0.1529,0.4196,2.3459,0.1603,0.2619,0.1791,0.8348
VR,roll,-12,CAM_BACK_LEFT,0.4567,0.3927,0.6443,0.1469,0.4519,2.6604,0.1531,0.2904,0.2356,0.9322
VR,roll,-12,CAM_BACK_RIGHT,0.4725,0.4139,0.6421,0.1452,0.3985,2.5407,0.1583,0.3001,0.2483,0.9644
VR,roll,-8,all,0.3063,0.1500,0.8918,0.1753,0.4475,2.3763,0.1725,0.1999,0.0900,0.6251
VR,roll,-8,CAM_FRONT,0.4537,0.3821,0.6336,0.1479,0.4362,2.4697,0.1552,0.2887,0.2292,0.9261
VR,roll,-8,CAM_FRONT_RIGHT,0.4766,0.4181,0.6395,0.1464,0.3980,2.3849,0.1407,0.3029,0.2509,0.9727
VR,roll,-8,CAM_FRONT_LEFT,0.4684,0.4036,0.6348,0.1447,0.4090,2.5156,0.1459,0.2978,0.2422,0.9559
VR,roll,-8,CAM_BACK,0.4176,0.3154,0.6805,0.1519,0.4111,2.3215,0.1576,0.2671,0.1892,0.8522
VR,roll,-8,CAM_BACK_LEFT,0.4631,0.3986,0.6476,0.1483,0.4153,2.5683,0.1508,0.2945,0.2392,0.9452
VR,roll,-8,CAM_BACK_RIGHT,0.4782,0.4191,0.6209,0.1450,0.4009,2.4205,0.1462,0.3037,0.2514,0.9760
VR,roll,-4,all,0.3813,0.2676,0.7793,0.1572,0.4341,2.4729,0.1545,0.2452,0.1606,0.7782
VR,roll,-4,CAM_FRONT,0.4678,0.4076,0.6325,0.1470,0.4284,2.5123,0.1520,0.2972,0.2446,0.9548
VR,roll,-4,CAM_FRONT_RIGHT,0.4811,0.4252,0.6274,0.1456,0.3980,2.4300,0.1440,0.3055,0.2551,0.9819
VR,roll,-4,CAM_FRONT_LEFT,0.4773,0.4147,0.6201,0.1446,0.3876,2.4250,0.1481,0.3032,0.2488,0.9741
VR,roll,-4,CAM_BACK,0.4434,0.3602,0.6670,0.1503,0.3916,2.3047,0.1582,0.2827,0.2161,0.9050
VR,roll,-4,CAM_BACK_LEFT,0.4741,0.4168,0.6399,0.1450,0.4085,2.5257,0.1490,0.3012,0.2501,0.9677
VR,roll,-4,CAM_BACK_RIGHT,0.4853,0.4277,0.6016,0.1435,0.3989,2.3958,0.1419,0.3080,0.2566,0.9904
VR,roll,4,all,0.3879,0.2686,0.7713,0.1587,0.3713,2.4534,0.1630,0.2495,0.1612,0.7916
VR,roll,4,CAM_FRONT,0.4593,0.3922,0.6544,0.1467,0.4032,2.4848,0.1636,0.2921,0.2353,0.9374
