condition,axis,signed_mag,protocol,nds,map6,mATE,mASE,mAOE,mAVE,mAAE,nds_10class,map_10class,rrs
ER,yaw,4,CAM_FRONT_LEFT,0.4766,0.4160,0.6261,0.1449,0.3944,2.4622,0.1490,0.3027,0.2496,0.9727
ER,yaw,4,CAM_BACK,0.4316,0.3443,0.7428,0.1441,0.3753,2.2046,0.1436,0.2760,0.2066,0.8808
ER,yaw,4,CAM_BACK_LEFT,0.4808,0.4237,0.6330,0.1435,0.3916,2.4398,0.1422,0.3054,0.2542,0.9813
ER,yaw,4,CAM_BACK_RIGHT,0.4815,0.4228,0.6305,0.1453,0.4021,2.3332,0.1211,0.3061,0.2537,0.9827
ER,yaw,8,all,0.2901,0.1247,1.0755,0.1522,0.3677,1.9937,0.2025,0.1902,0.0748,0.5921
ER,yaw,8,CAM_FRONT,0.4238,0.3239,0.6529,0.1478,0.4207,2.4564,0.1602,0.2707,0.1943,0.8649
ER,yaw,8,CAM_FRONT_RIGHT,0.4811,0.4236,0.6078,0.1445,0.4022,2.4264,0.1528,0.3053,0.2541,0.9818
ER,yaw,8,CAM_FRONT_LEFT,0.4600,0.3876,0.6318,0.1463,0.4114,2.4748,0.1479,0.2927,0.2325,0.9389
ER,yaw,8,CAM_BACK,0.4009,0.2792,0.7151,0.1460,0.3631,2.1327,0.1623,0.2574,0.1675,0.8183
ER,yaw,8,CAM_BACK_LEFT,0.4605,0.3944,0.6711,0.1443,0.3893,2.4825,0.1627,0.2929,0.2366,0.9398
ER,yaw,8,CAM_BACK_RIGHT,0.4748,0.4131,0.6418,0.1447,0.3997,2.3810,0.1312,0.3019,0.2479,0.9691
ER,yaw,12,all,0.2497,0.0635,1.2658,0.1584,0.4525,2.1442,0.2099,0.1653,0.0381,0.5096
ER,yaw,12,CAM_FRONT,0.4116,0.3012,0.6527,0.1486,0.4279,2.4543,0.1609,0.2634,0.1807,0.8401
ER,yaw,12,CAM_FRONT_RIGHT,0.4713,0.4103,0.6290,0.1457,0.4025,2.4909,0.1611,0.2994,0.2462,0.9619
ER,yaw,12,CAM_FRONT_LEFT,0.4509,0.3726,0.6268,0.1448,0.4333,2.5065,0.1492,0.2871,0.2236,0.9203
ER,yaw,12,CAM_BACK,0.3876,0.2526,0.6968,0.1467,0.3758,2.1009,0.1670,0.2492,0.1515,0.7912
ER,yaw,12,CAM_BACK_LEFT,0.4495,0.3748,0.6839,0.1440,0.3906,2.4798,0.1607,0.2864,0.2249,0.9174
ER,yaw,12,CAM_BACK_RIGHT,0.4674,0.4021,0.6565,0.1463,0.4037,2.4055,0.1298,0.2975,0.2413,0.9540
ER,yaw,16,all,0.2248,0.0332,1.2734,0.1768,0.5057,1.9792,0.2357,0.1496,0.0199,0.4588
ER,yaw,16,CAM_FRONT,0.4043,0.2836,0.6389,0.1493,0.4332,2.4264,0.1538,0.2590,0.1702,0.8251
ER,yaw,16,CAM_FRONT_RIGHT,0.4667,0.4068,0.6574,0.1459,0.3970,2.5361,0.1661,0.2966,0.2441,0.9526
ER,yaw,16,CAM_FRONT_LEFT,0.4412,0.3585,0.6424,0.1460,0.4445,2.5054,0.1472,0.2812,0.2151,0.9005
ER,yaw,16,CAM_BACK,0.3802,0.2357,0.6816,0.1477,0.3793,2.1006,0.1682,0.2447,0.1414,0.7759
ER,yaw,16,CAM_BACK_LEFT,0.4448,0.3625,0.6684,0.1441,0.3858,2.4713,0.1666,0.2835,0.2175,0.9077
ER,yaw,16,CAM_BACK_RIGHT,0.4629,0.3949,0.6612,0.1487,0.4114,2.3624,0.1237,0.2948,0.2369,0.9448
ER,yaw,20,all,0.1693,0.0257,1.2383,0.3352,0.6818,1.9661,0.4180,0.1125,0.0154,0.3456
ER,yaw,20,CAM_FRONT,0.4030,0.2819,0.6426,0.1490,0.4378,2.4513,0.1500,0.2583,0.1691,0.8225
ER,yaw,20,CAM_FRONT_RIGHT,0.4628,0.3999,0.6645,0.1465,0.3945,2.5276,0.1663,0.2942,0.2400,0.9445
ER,yaw,20,CAM_FRONT_LEFT,0.4388,0.3551,0.6445,0.1441,0.4556,2.5133,0.1437,0.2797,0.2131,0.8955
ER,yaw,20,CAM_BACK,0.3766,0.2292,0.6730,0.1469,0.3912,2.1838,0.1691,0.2425,0.1375,0.7686
ER,yaw,20,CAM_BACK_LEFT,0.4403,0.3535,0.6629,0.1471,0.3878,2.4649,0.1663,0.2808,0.2121,0.8987
ER,yaw,20,CAM_BACK_RIGHT,0.4606,0.3894,0.6578,0.1490,0.4118,2.3805,0.1227,0.2934,0.2336,0.9400
ER,pitch,-20,all,0.1816,0.0229,1.1277,0.3938,0.6897,3.2486,0.2154,0.1228,0.0137,0.3706
ER,pitch,-20,CAM_FRONT,0.4445,0.3607,0.6091,0.1520,0.4336,2.3185,0.1638,0.2830,0.2164,0.9071
ER,pitch,-20,CAM_FRONT_RIGHT,0.4743,0.4134,0.6213,0.1450,0.4066,2.4240,0.1509,0.3013,0.2480,0.9680
ER,pitch,-20,CAM_FRONT_LEFT,0.4619,0.4014,0.6189,0.1455,0.4694,2.6902,0.1541,0.2934,0.2408,0.9427
ER,pitch,-20,CAM_BACK,0.4224,0.3133,0.6234,0.1547,0.3902,2.2047,0.1742,0.2699,0.1880,0.8621
ER,pitch,-20,CAM_BACK_LEFT,0.4503,0.3811,0.6444,0.1454,0.4506,2.7024,0.1619,0.2864,0.2287,0.9191
ER,pitch,-20,CAM_BACK_RIGHT,0.4737,0.4072,0.6212,0.1468,0.4126,2.4537,0.1187,0.3014,0.2443,0.9668
ER,pitch,-16,all,0.2227,0.0706,1.1804,0.3181,0.5991,3.0862,0.2084,0.1482,0.0423,0.4545
ER,pitch,-16,CAM_FRONT,0.4509,0.3715,0.6201,0.1518,0.4214,2.3397,0.1554,0.2870,0.2229,0.9202
ER,pitch,-16,CAM_FRONT_RIGHT,0.4784,0.4197,0.6083,0.1459,0.4029,2.4612,0.1575,0.3037,0.2518,0.9764
ER,pitch,-16,CAM_FRONT_LEFT,0.4650,0.4064,0.6227,0.1470,0.4577,2.6795,0.1542,0.2953,0.2438,0.9491
ER,pitch,-16,CAM_BACK,0.4291,0.3304,0.6350,0.1563,0.3946,2.1787,0.1749,0.2739,0.1982,0.8758
ER,pitch,-16,CAM_BACK_LEFT,0.4522,0.3840,0.6435,0.1509,0.4448,2.6979,0.1588,0.2876,0.2304,0.9229
ER,pitch,-16,CAM_BACK_RIGHT,0.4783,0.4194,0.6097,0.1447,0.4068,2.5339,0.1523,0.3037,0.2516,0.9763
ER,pitch,-12,all,0.2791,0.1570,1.0084,0.2494,0.5324,2.5796,0.2125,0.1824,0.0942,0.5696
ER,pitch,-12,CAM_FRONT,0.4543,0.3795,0.6391,0.1533,0.4095,2.3207,0.1525,0.2892,0.2277,0.9272
ER,pitch,-12,CAM_FRONT_RIGHT,0.4798,0.4235,0.6131,0.1463,0.4032,2.3997,0.1572,0.3045,0.2541,0.9791
ER,pitch,-12,CAM_FRONT_LEFT,0.4669,0.4089,0.6233,0.1467,0.4539,2.6353,0.1517,0.2965,0.2453,0.9529
ER,pitch,-12,CAM_BACK,0.4359,0.3459,0.6421,0.1572,0.3892,2.2268,0.1820,0.2779,0.2076,0.8897
ER,pitch,-12,CAM_BACK_LEFT,0.4604,0.3960,0.6374,0.1455,0.4379,2.6403,0.1552,0.2927,0.2376,0.9396
